2025/06/28 09:43:09 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:10 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:12 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:14 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:18 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:24 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:38 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:04 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:45:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 10:39:57 [error] 52#52: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080"
2025/06/28 11:07:18 [error] 48#48: *110 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/users?size=100 HTTP/1.1", upstream: "http://172.20.0.5:8080/api/users?size=100", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:07:18 [error] 46#46: *105 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:07:18 [error] 47#47: *106 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-data HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-data", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:07:26 [error] 47#47: *106 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:07:26 [error] 46#46: *105 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-data HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-data", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:07:31 [error] 46#46: *105 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 11:10:38 [error] 49#49: *122 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:34:25 [error] 52#52: *294 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/users?size=100 HTTP/1.1", upstream: "http://172.20.0.5:8080/api/users?size=100", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:34:32 [error] 52#52: *294 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:34:32 [error] 51#51: *293 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-data HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-data", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:45:06 [error] 53#53: *320 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:45:06 [error] 31#31: *321 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-data HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-data", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/06/28 12:47:21 [error] 31#31: *332 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/health HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/health", host: "localhost:8080"
